"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"9","8","6","1","0","0","0","0","1","0","0"
"10","8","7","1","2","0","0","0","0","0","0"
"11","8","4","1","0","0","0","0","0","0","0"
"12","8","6","0","0","0","0","0","0","0","0"
"13","8","4","2","0","0","0","0","0","0","0"
"14","8","8","2","0","0","0","0","0","0","0"
"15","8","5","1","0","0","0","0","0","0","0"
"16","8","5","1","0","0","0","0","0","0","0"
"17","8","9","2","0","0","0","0","0","0","0"
"18","8","6","1","1","0","0","0","0","0","0"
"19","8","7","1","0","0","1","0","0","0","0"
"20","8","6","0","0","0","0","0","0","0","0"
"21","8","5","2","0","0","0","0","0","0","0"
"22","8","5","1","0","0","0","0","0","0","0"
"23","8","9","2","1","0","0","0","0","0","0"
"24","8","5","1","0","0","0","0","0","0","0"
"25","8","5","0","0","0","0","0","0","0","0"
"26","8","6","2","0","0","0","0","0","0","0"
"1","5","5","2","0","0","0","0","0","0","0"
"2","5","6","2","1","0","0","0","0","0","0"
"3","5","4","1","0","0","1","0","0","0","0"
"4","5","5","0","1","0","0","0","0","0","0"
"5","5","5","2","0","0","0","0","0","0","0"
"6","5","5","2","0","0","0","0","0","0","0"
"7","5","6","2","0","0","0","0","0","0","0"
"8","5","5","2","0","0","0","0","1","0","0"
"9","5","5","2","0","0","0","0","0","0","0"
"10","5","5","0","1","0","0","0","0","0","0"
"11","5","6","2","0","0","0","0","0","0","0"
"12","5","4","1","0","0","0","0","0","0","0"
"13","5","6","1","0","0","0","0","0","0","0"
"14","5","4","2","0","0","0","0","0","0","0"
"15","5","5","1","0","0","0","0","0","0","0"
"16","5","7","3","0","0","0","0","0","0","0"
"17","5","4","2","0","0","0","0","0","0","0"
"18","5","5","1","0","0","0","0","0","0","0"
"19","5","3","0","0","0","0","0","0","0","0"
"20","5","5","2","0","0","0","0","0","0","0"
"21","5","6","2","0","0","0","0","0","0","0"
"22","5","4","0","2","0","0","0","0","0","0"
"23","5","6","1","0","0","0","0","0","0","0"
"25","5","5","1","0","0","0","0","0","0","0"
"24","5","6","2","0","0","0","0","0","0","0"
"26","5","6","2","0","0","0","0","0","0","0"
