"HH","Cluster","HH_members_Total","HH_members_u5","joined_HH_total","joined_HH_u5","left_HH_total","left_HH_u5","Births","Deaths_Total","Deaths_u5"
"5","33","9","3","","","","","","",""
"6","33","4","2","","","","","1","",""
"7","33","4","1","","","","","","",""
"8","33","6","2","","","","","","",""
"9","33","5","2","","","","","","",""
"10","33","5","1","","","","","","",""
"11","33","5","2","","","","","","",""
"12","33","5","2","1","","","","","",""
"13","33","3","1","","","","","","",""
"14","33","4","1","","","","","","","1"
"15","33","3","0","","","","","","",""
"1","34","6","2","","","","","","",""
"2","34","6","2","","","","","","",""
"3","34","8","3","","","","","","",""
"4","34","4","1","","","","","","",""
"5","34","6","2","","","","","","",""
"6","34","4","2","","","","","","",""
"7","34","2","0","","","","","","",""
"8","34","4","0","","","","","","",""
"9","34","4","1","","","","","","",""
"10","34","5","2","","","","","","",""
"11","34","3","1","","","","","","",""
"12","34","3","1","","","","","","",""
"13","34","4","1","","","","","","",""
"14","34","1","0","","","","","","1",""
"15","34","1","0","","","","","","",""
"1","35","9","1","1","","","","","",""
"2","35","10","3","2","","","","","",""
"3","35","6","3","","","","","","",""
"4","35","7","1","","","","","","",""
"5","35","7","3","","","","","","",""
"6","35","10","1","1","","","","","",""
"7","35","6","0","1","","","","","",""
"8","35","7","2","","","","","","",""
"9","35","4","2","","","","","","",""
"10","35","5","1","","","","","1","",""
"11","35","6","0","","","","","","",""
"12","35","6","3","","","","","","",""
"13","35","12","1","","","","","","",""
"14","35","9","1","","","","","","",""
"15","35","9","2","","","","","1","",""
"1","36","7","2","","","","","","",""
"2","36","9","1","","","","","","",""
"3","36","7","2","","","","","","",""
"4","36","4","2","","","","","","",""
"5","36","5","2","","","","","","",""
"6","36","5","2","","","","","","",""
"7","36","6","1","","","","","","",""
"8","36","5","3","","","","","","",""
"9","36","10","2","","","","","","",""
"10","36","8","2","","","","","","",""
"11","36","5","3","","","","","","",""
"12","36","4","2","","","","","","",""
"13","36","4","0","","","","","","",""
"14","36","7","2","","","","","","",""
"15","36","3","0","1","","","","","",""
"1","37","9","3","","","","","","",""
"2","37","5","1","","","","","","",""
"3","37","7","2","","","","","1","",""
"4","37","7","2","","","","","","",""
"5","37","8","1","","","","","","",""
"6","37","8","2","","","","","1","",""
"7","37","2","0","","","","","","",""
"8","37","6","2","","","","","","",""
"9","37","6","1","","","","","","",""
"10","37","3","1","","","","","","",""
"11","37","6","2","","","","","","",""
"12","37","8","2","1","","","","","",""
"13","37","5","3","","","","","","",""
"14","37","5","2","","","","","","",""
"15","37","3","0","","","","","","",""
"1","38","4","2","","","","","","",""
"2","38","6","3","","","","","","",""
"3","38","4","3","","","","","","",""
"4","38","4","1","","","","","","",""
"5","38","6","1","1","","","","","",""
"6","38","3","0","","","","","","",""
"7","38","6","2","","","","","","",""
"8","38","5","2","","","","","","",""
"9","38","3","1","","","","","","",""
"10","38","3","1","","","","","","",""
"11","38","3","1","","","","","","",""
"12","38","4","1","","","","","","",""
"13","38","4","1","2","","","","","",""
"14","38","2","1","","","","","","",""
"15","38","3","1","","","","","","",""
"1","39","8","3","","","","","","",""
"2","39","4","2","","","","","","",""
"3","39","5","2","","","","","","",""
"4","39","3","2","","","","","","",""
"5","39","6","3","","","","","1","",""
"6","39","7","3","","","","","","",""
"7","39","2","1","","","","","","",""
"8","39","4","1","","","","","","","1"
"9","39","6","2","","","","","","",""
"10","39","4","2","","","","","1","",""
"11","39","3","1","","","","","","",""
"12","39","3","1","","","","","1","",""
"13","39","3","1","","","","","","",""
"14","39","1","0","","","1","2","","",""
"15","39","3","1","","","","","","",""
"1","40","7","2","","","","","","",""
"2","40","7","2","","","","","","",""
"3","40","3","1","","","","","","",""
"4","40","2","1","","","","","","",""
"5","40","3","1","","","","","","",""
"6","40","4","1","","","","","","",""
"7","40","5","1","","","","","","",""
"8","40","5","2","","","","","","",""
"9","40","4","2","","","","","","",""
"10","40","2","1","","","","","","",""
"11","40","3","1","","","","","","",""
"12","40","3","1","","","","","","",""
"13","40","2","0","","","","","","",""
"14","40","5","2","","","","","","",""
"15","40","4","2","","","","","","",""
"1","41","6","1","","","","","","",""
"2","41","5","1","","","","","","",""
"3","41","3","1","","","","","","",""
"4","41","5","3","","","","","","",""
"5","41","5","1","","","","","","",""
"6","41","3","1","","","","","","",""
"7","41","2","1","","","","","","",""
"8","41","5","2","","","","","","",""
"9","41","5","3","","","","","","",""
"10","41","4","3","","","","","1","",""
"11","41","4","1","","","","","","",""
"12","41","4","2","","","","","","",""
"13","41","3","2","","","","","","",""
"14","41","3","1","","","","","","",""
"15","41","3","1","","","","","","",""
"1","42","7","2","","","","","","",""
"2","42","3","1","","","","","","",""
"3","42","5","3","","","","","","",""
"4","42","5","2","","","","","","",""
"5","42","4","2","","","","","","",""
"6","42","4","3","","","","","","",""
"7","42","5","2","","","","","1","",""
"8","42","5","1","","","","","","",""
"9","42","4","1","","","","","","",""
"10","42","3","1","","","","","","",""
"11","42","3","1","","","","","","",""
"12","42","5","2","","","","","","",""
"13","42","4","2","","","","","","",""
"14","42","4","2","","","","","","",""
"15","42","2","0","","","","","","",""
"14","34","1","","","","","","","",""
"15","34","1","","","","","","","",""
